LotArea,Neighborhood,BldgType,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,heatingQ,CentralAir,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
5900,BrkSide,1Fam,4,7,1923,1958,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,440,440,TA,Y,869,0,0,0,1,0,2,Fa,4,0,0,0,8,2006,WD,Normal,85500
5400,OldTown,1Fam,5,6,1920,1950,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,691,691,Ex,Y,691,0,0,0,1,0,2,Ex,4,0,1,216,1,2007,WD,Abnorml,86000
9098,Edwards,1Fam,4,7,1920,2002,TA,TA,BrkTil,TA,TA,Mn,ALQ,348,Unf,180,528,Ex,Y,605,0,1,0,1,0,2,TA,5,0,0,0,7,2007,WD,Normal,86000
1526,MeadowV,Twnhs,4,8,1970,2002,TA,Gd,CBlock,Gd,TA,Av,GLQ,515,Unf,115,630,TA,Y,630,0,1,0,1,0,1,Gd,3,0,1,286,5,2009,WD,Normal,86000
9600,OldTown,1Fam,4,2,1900,1950,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,1095,1095,Fa,N,1095,679,1,0,2,0,4,TA,8,0,3,779,5,2006,WD,Normal,87000
4388,OldTown,1Fam,5,7,1930,1950,TA,Gd,BrkTil,TA,TA,No,LwQ,116,Unf,556,672,Ex,Y,840,0,0,0,1,0,3,TA,5,1,0,0,6,2007,WD,Normal,87000
9439,OldTown,1Fam,5,5,1930,1950,TA,TA,CBlock,TA,TA,No,LwQ,324,Unf,588,912,Gd,Y,912,336,0,0,1,0,2,TA,6,0,1,160,3,2007,WD,Normal,87000
5000,IDOTRR,1Fam,5,6,1941,1950,TA,TA,CBlock,TA,TA,Av,BLQ,116,Unf,604,720,Po,N,803,0,0,0,1,0,2,TA,5,0,2,360,12,2007,WD,Normal,87000
8544,0mes,Duplex,3,4,1949,1950,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,Fa,N,1040,0,0,0,2,0,2,TA,6,0,2,400,5,2006,WD,Normal,87500
8125,0mes,1Fam,4,4,1971,1971,TA,TA,CBlock,TA,TA,No,BLQ,614,Unf,244,858,TA,Y,858,0,0,0,1,0,3,TA,5,0,0,0,6,2006,WD,Normal,88000
6120,BrkSide,1Fam,5,7,1925,1950,TA,TA,BrkTil,TA,TA,No,Rec,489,Unf,279,768,TA,N,1015,0,0,0,1,0,3,TA,6,0,1,450,7,2006,WD,Abnorml,88000
1680,BrDale,Twnhs,6,5,1971,1971,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,525,525,TA,Y,525,567,0,0,1,1,3,TA,6,0,1,264,3,2010,WD,Family,88000
2217,MeadowV,TwnhsE,4,4,1970,1970,TA,TA,CBlock,TA,TA,No,BLQ,546,LwQ,0,546,TA,Y,546,546,0,0,1,1,3,TA,6,0,1,286,8,2009,WD,Normal,88000
6000,BrkSide,1Fam,5,7,1921,1950,TA,TA,CBlock,TA,TA,No,LwQ,616,Unf,0,616,Gd,Y,616,0,0,0,1,0,2,TA,4,0,1,205,6,2006,WD,Normal,89000
5925,OldTown,1Fam,4,7,1937,2000,TA,TA,BrkTil,Fa,TA,No,Rec,168,Unf,739,907,TA,Y,1131,0,0,0,1,0,2,TA,7,0,2,672,3,2007,WD,Alloca,89471
7920,IDOTRR,1Fam,6,7,1920,1950,TA,Fa,CBlock,TA,TA,No,Unf,0,Unf,319,319,TA,Y,1035,371,0,0,1,0,3,Fa,6,0,0,0,3,2008,WD,Normal,89500
1680,BrDale,TwnhsE,6,3,1971,1971,TA,TA,CBlock,TA,TA,No,ALQ,358,Unf,125,483,TA,Y,483,504,0,0,1,1,2,TA,5,0,1,264,8,2008,WD,Normal,89500
13600,OldTown,2fmCon,5,5,1900,1950,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,662,662,TA,N,1422,915,0,0,2,0,5,TA,10,0,2,560,9,2007,WD,Normal,90000
10791,Sawyer,Duplex,4,5,1967,1967,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,TA,Y,1296,0,0,0,2,0,2,TA,6,0,2,516,10,2006,WD,Normal,90000
7200,0mes,Duplex,4,5,1949,1950,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,Fa,N,1040,0,0,0,2,0,2,TA,6,0,2,420,6,2009,WD,Normal,90000
4280,Crawfor,1Fam,5,6,1913,2002,TA,TA,PConc,TA,TA,No,LwQ,365,Unf,75,440,TA,N,694,0,0,0,1,0,2,Gd,4,1,1,352,3,2007,WD,Normal,90350
9786,IDOTRR,1Fam,3,4,1922,1950,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,1007,1007,Fa,N,1077,0,0,0,1,0,3,TA,6,1,1,210,5,2006,WD,Normal,91000
6292,SWISU,1Fam,6,5,1930,1950,TA,TA,BrkTil,Gd,TA,Mn,Rec,384,Unf,384,768,TA,N,790,0,0,0,1,0,2,TA,4,0,1,160,4,2008,WD,Normal,91000
1596,MeadowV,Twnhs,4,5,1973,1973,TA,TA,CBlock,Gd,TA,Gd,GLQ,462,Unf,0,462,TA,Y,526,462,1,0,1,0,2,TA,5,0,1,297,11,2009,WD,Normal,91000
5784,OldTown,1Fam,5,8,1938,1996,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,190,190,Gd,Y,886,0,0,0,1,0,2,TA,4,0,1,273,12,2009,WD,Normal,91300
7585,Edwards,1Fam,5,3,1948,1950,TA,TA,CBlock,Fa,Fa,Mn,Unf,0,Unf,810,810,Fa,Y,1002,454,1,1,1,0,4,TA,7,1,1,280,8,2006,WD,Normal,91500
1680,BrDale,Twnhs,6,5,1971,1971,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,672,672,TA,Y,672,546,0,0,1,1,3,TA,7,0,0,0,4,2006,WD,Abnorml,91500
1533,MeadowV,Twnhs,5,7,1970,1970,TA,TA,CBlock,Gd,TA,Av,GLQ,553,Unf,77,630,Ex,Y,630,0,1,0,1,0,1,Ex,3,0,0,0,8,2006,WD,Abnorml,92000
8544,0mes,Duplex,3,4,1950,1950,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,Fa,N,1040,0,0,0,2,0,2,TA,6,0,2,400,6,2009,WD,Normal,92900
8335,Edwards,1Fam,5,5,1954,1954,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,Gd,Y,1124,0,0,0,1,0,3,TA,5,1,0,0,4,2006,WD,Normal,93000
6000,OldTown,2fmCon,4,4,1953,1953,Fa,TA,CBlock,Fa,TA,No,Unf,0,Unf,936,936,TA,N,936,0,0,0,1,0,2,TA,4,0,2,576,2,2009,WD,Normal,93000
6000,OldTown,2fmCon,5,4,1954,1954,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,811,811,TA,Y,811,576,0,0,2,0,3,Gd,7,0,1,256,11,2009,WD,Normal,93000
10712,Mitchel,1Fam,5,5,1991,1992,TA,TA,PConc,Gd,TA,Mn,BLQ,212,Unf,762,974,TA,Y,974,0,0,0,1,0,3,TA,5,0,0,0,9,2007,Oth,Abnorml,93500
8544,0mes,Duplex,3,4,1950,1950,TA,TA,CBlock,NA,NA,NA,NA,0,NA,0,0,Gd,N,1040,0,0,0,2,0,2,TA,6,0,2,400,7,2006,WD,Normal,93500
6342,Sawyer,1Fam,5,8,1875,1996,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,780,780,Gd,N,780,240,0,0,1,0,2,TA,6,0,0,0,5,2010,WD,Normal,94000
1680,BrDale,Twnhs,6,5,1972,1972,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,483,483,TA,Y,483,504,0,0,1,1,2,TA,5,1,1,288,6,2006,WD,Normal,94500
10921,Edwards,1Fam,4,5,1965,1965,TA,TA,CBlock,TA,TA,No,Rec,520,Unf,440,960,TA,Y,960,0,1,0,1,0,3,TA,6,0,1,432,5,2007,WD,Normal,94750
10615,OldTown,2fmCon,3,5,1900,1970,TA,TA,CBlock,Fa,TA,Mn,BLQ,440,Unf,538,978,TA,Y,1014,685,1,0,2,0,3,TA,7,0,2,420,8,2009,WD,Abnorml,95000
9084,Edwards,1Fam,5,6,1941,1950,TA,TA,CBlock,TA,Fa,Mn,LwQ,616,Rec,0,616,TA,N,616,495,0,1,1,0,3,TA,5,0,1,200,3,2008,ConLw,Normal,95000
10594,Crawfor,1Fam,5,5,1926,1950,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,768,768,Fa,N,789,0,0,0,1,0,2,TA,5,0,1,200,6,2007,WD,Normal,96500
8800,OldTown,1Fam,4,7,1910,2004,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,576,576,Gd,Y,792,348,0,0,1,0,3,TA,7,0,0,0,6,2010,WD,Normal,96500
10500,0mes,1Fam,4,6,1971,1971,TA,TA,CBlock,TA,TA,No,ALQ,704,LwQ,160,864,Gd,Y,864,0,0,0,1,0,2,TA,4,0,2,576,3,2009,WD,Abnorml,97000
12702,OldTown,1Fam,5,5,1956,1956,TA,TA,PConc,NA,NA,NA,NA,0,NA,0,0,Gd,Y,882,0,0,0,1,0,2,TA,4,0,1,308,12,2008,WD,Normal,97000
1533,MeadowV,Twnhs,4,6,1970,2008,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,546,546,TA,Y,798,546,0,0,1,1,3,TA,6,1,0,0,5,2009,WD,Normal,97000
17503,0mes,1Fam,6,5,1948,1950,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,912,912,TA,Y,912,546,0,1,1,0,3,TA,6,1,1,330,1,2010,WD,Abnorml,97500
5604,Edwards,1Fam,5,6,1925,1950,TA,TA,CBlock,TA,TA,No,Rec,468,Unf,396,864,TA,N,864,0,1,0,1,0,2,TA,5,0,0,0,4,2008,WD,Normal,98000
8405,Edwards,1Fam,4,3,1945,1950,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,TA,N,1088,441,0,0,2,0,4,TA,9,0,1,240,4,2009,WD,Normal,98000
4571,OldTown,1Fam,5,5,1916,1950,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,624,624,Fa,N,624,720,0,0,1,0,4,TA,7,0,3,513,5,2008,COD,Abnorml,98000
7200,0mes,1Fam,5,5,1950,1950,TA,TA,CBlock,NA,NA,NA,NA,0,NA,0,0,Gd,Y,1048,0,0,0,1,0,3,TA,7,0,2,420,7,2008,WD,Normal,98300
8500,0mes,1Fam,5,3,1961,1961,TA,TA,CBlock,TA,TA,No,Rec,600,Unf,635,1235,TA,Y,1235,0,0,0,1,0,2,TA,6,0,2,480,12,2006,WD,Abnorml,98600
7892,SawyerW,TwnhsE,6,5,1979,1979,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,918,918,TA,Y,918,0,0,0,2,0,2,TA,5,1,1,264,4,2010,WD,Normal,99500
4060,Edwards,1Fam,5,8,1922,1950,TA,TA,PConc,Fa,TA,No,Unf,0,Unf,864,864,Ex,Y,864,0,0,0,1,0,2,TA,4,0,0,0,7,2009,WD,Normal,99900
7446,BrkSide,1Fam,4,5,1941,1950,TA,TA,CBlock,TA,TA,No,Rec,266,Unf,522,788,TA,Y,788,0,0,0,1,0,2,TA,4,2,0,0,4,2006,WD,Abnorml,100000
9825,Edwards,Duplex,5,5,1965,1965,TA,TA,CBlock,NA,NA,NA,NA,0,NA,0,0,TA,N,1664,0,0,0,2,0,4,TA,8,0,0,0,5,2010,WD,Normal,100000
8877,Edwards,1Fam,4,6,1938,1958,TA,TA,CBlock,TA,TA,Mn,ALQ,690,Unf,126,816,Ex,Y,816,0,1,0,1,0,2,TA,3,1,1,288,5,2009,WD,Normal,100000
7150,0mes,1Fam,5,5,1967,1967,TA,TA,CBlock,TA,TA,No,BLQ,432,Unf,460,892,TA,Y,892,0,0,0,1,0,3,TA,5,0,1,288,7,2009,WD,Normal,100000
10800,OldTown,1Fam,4,7,1885,1995,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,641,641,Gd,Y,1047,0,0,0,1,0,2,TA,6,0,1,273,8,2007,WD,Normal,100000
8520,OldTown,1Fam,5,6,1923,2006,Gd,TA,CBlock,TA,TA,No,Unf,0,Unf,968,968,TA,Y,968,0,0,0,1,0,2,TA,5,0,2,480,7,2007,WD,Normal,100000
6911,BrkSide,1Fam,5,5,1924,1950,TA,TA,PConc,TA,TA,Mn,LwQ,405,Unf,740,1145,TA,Y,1301,0,0,0,1,0,2,Fa,5,0,2,440,10,2009,WD,Normal,100000
6060,IDOTRR,1Fam,4,5,1939,1950,TA,TA,PConc,TA,TA,No,Unf,0,Unf,732,732,Gd,Y,772,351,0,0,1,0,3,TA,4,0,1,264,6,2007,WD,Normal,100000
1680,BrDale,Twnhs,6,5,1973,1973,TA,TA,CBlock,TA,TA,No,BLQ,330,Unf,153,483,TA,Y,483,504,1,0,1,1,2,TA,5,0,1,264,11,2008,WD,Normal,100000
7200,IDOTRR,1Fam,5,7,1920,1996,TA,TA,BrkTil,TA,Fa,No,Unf,0,Unf,530,530,TA,N,581,530,0,0,1,0,3,Fa,6,0,1,288,3,2007,WD,Normal,101000
9842,0mes,Duplex,4,5,1962,1962,TA,TA,Slab,NA,NA,NA,NA,0,NA,0,0,TA,Y,1224,0,0,0,2,0,2,TA,6,0,2,462,3,2007,WD,Normal,101800
8877,Edwards,1Fam,4,5,1951,1951,TA,TA,CBlock,Fa,Fa,No,LwQ,836,Unf,0,836,TA,Y,1220,0,0,0,1,0,2,TA,6,0,2,396,4,2006,COD,Normal,102000
6000,SWISU,1Fam,5,5,1926,1950,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,1008,1008,Ex,Y,1008,0,0,0,2,0,4,TA,7,0,0,0,6,2006,WD,Normal,102000
6180,BrkSide,1Fam,6,5,1926,1950,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,960,960,TA,N,986,0,0,0,1,0,2,TA,5,1,1,180,5,2007,WD,Normal,102000
